Kanji,Hiragana,Tiếng Việt,Từ loại,JLPT Level
朝,あさ,buổi sáng,danh từ,N5
朝ご飯,あさごはん,bữa ăn sáng,danh từ,N5
あさって,あさって,ngày kia,danh từ,N5
足,あし,chân,danh từ,N5
明日,あした,ngày mai,danh từ,N5
これ,これ,cái này,đại từ,N5
それ,それ,cái đó,đại từ,N5
あれ,あれ,cái kia,đại từ,N5
ここ,ここ,chỗ này,đại từ,N5
そこ,そこ,chỗ đó,đại từ,N5
あそこ,あそこ,""Chỗ kia, đằng kia"",đại từ,N5
こちら,こちら,phía này,đại từ,N5
そちら,そちら,phía đó,đại từ,N5
あちら,あちら,phía kia,đại từ,N5
春,はる,mùa xuân,danh từ,N5
夏,なつ,mùa hạ,danh từ,N5
秋,あき,mùa thu,danh từ,N5
冬,ふゆ,mùa đông,danh từ,N5
頭,あたま,đầu,danh từ,N5
あなた,あなた,bạn,đại từ,N5
兄,あに,Anh trai (mình),danh từ,N5
姉,あね,Chị gái (mình),danh từ,N5
アパート,あぱーと,căn hộ,danh từ,N5
雨,あめ,mưa,danh từ,N5
飴,あめ,kẹo (ngậm),danh từ,N5
家,いえ,nhà,danh từ,N5
池,いけ,cái ao,danh từ,N5
医者,いしゃ,bác sĩ,danh từ,N5
椅子,いす,ghế,danh từ,N5
一,いち,một,danh từ,N5
一日,いちにち,"ついたち,Một ngày, ngày mồng 1",danh từ,N5
二日,ふつか,"2 ngày, ngày mồng 2",danh từ,N5
三日,みっか,"3 ngày, ngày mồng 3",danh từ,N5
四日,よっか,"4 ngày, ngày mồng 4",danh từ,N5
五日,いつか,"năm ngày, ngày mồng 5",danh từ,N5
六日,むいか,"6 ngày, ngày mồng 6",danh từ,N5
七日,なのか,"7 ngày, ngày mồng 7",danh từ,N5
八日,ようか,"8 ngày, ngày mồng 8",danh từ,N5
九日,ここのか,"9 ngày, ngày mồng 9",danh từ,N5
十日,とおか,"10 ngày, ngày mồng 10",danh từ,N5
五つ,いつつ,năm cái (đếm đồ vật nói chung),danh từ,N5
犬,いぬ,con chó,danh từ,N5
今,いま,bây giờ,danh từ,N5
意味,いみ,ý nghĩa,danh từ,N5
妹,いもうと,em gái (mình),danh từ,N5
入口,いりぐち,lối vào,danh từ,N5
色,いろ,màu,danh từ,N5
上,うえ,trên,danh từ,N5
後ろ,うしろ,đằng sau,danh từ,N5
歌,うた,bài hát,danh từ,N5
海,うみ,biển,danh từ,N5
上着,うわぎ,áo khoác,danh từ,N5
絵,え,bức tranh,danh từ,N5
映画,えいが,phim (điện ảnh),danh từ,N5
映画館,えいがかん,rạp chiếu phim,danh từ,N5
英語,えいご,Tiếng Anh,danh từ,N5
駅,えき,nhà ga,danh từ,N5
エレベーター,えれべーた,thang máy,danh từ,N5
鉛筆,えんぴつ,bút chì,danh từ,N5
大勢,おおぜい,Nhiều (người),danh từ,N5
お母さん,おかあさん,Mẹ (khi nói về mẹ người khác),danh từ,N5
お菓子,おかし,"Bánh, kẹo",danh từ,N5
お金,おかね,tiền,danh từ,N5
奥さん,おくさん,vợ (khi nói về vợ người khác),danh từ,N5
お酒,おさけ,rượu,danh từ,N5
お皿,おさら,Cái đĩa,danh từ,N5
おじいさん,おじいさん,"ông (nội, ngoại), ông già",danh từ,N5
おじさん,おじさん,"chú, bác (người đàn ông trung niên)",danh từ,N5
お茶,おちゃ,trà,danh từ,N5
お手洗い,おてあらい,nhà vệ sinh,danh từ,N5
お父さん,おとうさん,bố (dùng để nói về bố người khác),danh từ,N5
